estado,pi
"PUNCT,SYM",4.934734749657115e-05
"PUNCT,VERB",0.0049299110969606
"PUNCT,X",7.56911418588828e-05
"SCONJ,ADJ",0.0003435613785514
"SCONJ,ADP",0.0004953699440625
"SCONJ,ADV",0.0025635327585712
"SCONJ,AUX",0.0011792964871958
"SCONJ,CCONJ",0.0001007900167536
"SCONJ,DET",0.0074085601610115
"SCONJ,INTJ",3.34170511877054e-05
"SCONJ,NOUN",0.0002148462877523
"SCONJ,NUM",0.0001381970068822
"SCONJ,PART",3.2746429967167896e-05
"SCONJ,PRON",0.003495234573627
"SCONJ,PROPN",0.0010932120804731
"SCONJ,PUNCT",0.000361111255194
"SCONJ,SCONJ",0.000245912276305
"SCONJ,SYM",3.282833682390864e-05
"SCONJ,VERB",0.003244070214483
"SCONJ,X",3.2168723970426585e-05
"SYM,ADJ",1.9438409332648773e-05
"SYM,ADP",8.123779808956165e-05
"SYM,ADV",3.711653988352206e-05
"SYM,AUX",3.71748263927238e-05
"SYM,CCONJ",7.778442092655382e-05
"SYM,DET",3.5086226140494123e-05
"SYM,INTJ",1.2091214378051428e-05
"SYM,NOUN",1.479871369647301e-05
"SYM,NUM",2.6376510843282022e-05
"SYM,PART",1.22299284519629e-05
"SYM,PRON",5.018443141038636e-05
"SYM,PROPN",2.143230157296374e-05
"SYM,PUNCT",7.793862029059737e-05
"SYM,SCONJ",3.4012891127575755e-05
"SYM,SYM",1.4435136632215556e-05
"SYM,VERB",3.100043363227965e-05
"SYM,X",1.2731065640908144e-05
"VERB,ADJ",0.0012430599047719
"VERB,ADP",0.0126388206872557
"VERB,ADV",0.0064201519208409
"VERB,AUX",0.0007296946371794
"VERB,CCONJ",0.0004897790229401
"VERB,DET",0.0104101834715776
"VERB,INTJ",1.804229660998219e-05
"VERB,NOUN",0.002118689055651
"VERB,NUM",0.0022136352790594
"VERB,PART",1.8211500170103708e-05
"VERB,PRON",0.0074383590824689
"VERB,PROPN",0.000118247894865
"VERB,PUNCT",0.0029446207589685
"VERB,SCONJ",0.0060293315303213
"VERB,SYM",0.00015622663587
"VERB,VERB",0.0017347509745993
"VERB,X",2.128204364983496e-05
"X,ADJ",1.9604149972063902e-05
"X,ADP",6.701316893717244e-05
